DATE-TIME,MAC-ADDRESS,CALIB-FREQ,CALIB-POWER-2G,CALIB-POWER-5G,TEST-SENS-2G,TEST-SENS-5G,VERIFY-SIGNAL-2G,VERIFY-SIGNAL-5G,ERROR-CODE,TOTAL-RESULT
2018/06/14 09:56:17,00:AA:BB:01:23:40,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,,FAIL
2018/06/14 11:05:31,A4:F4:C2:21:55:C3,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,,FAIL
2018/06/14 11:26:30,00:AA:BB:01:23:40,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,,FAIL
2018/06/14 11:47:55,A4:F4:C2:21:55:BD,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,,FAIL
2018/06/14 12:09:58,A4:F4:C2:21:55:C6,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,,FAIL
2018/06/14 16:41:53,00:AA:BB:01:23:40,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,,FAIL
2018/06/14 17:10:44,A4:F4:C2:21:55:BD,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,,FAIL
2018/06/14 17:46:55,A4:F4:C2:21:55:C3,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,,FAIL
2018/06/14 18:13:28,A4:F4:C2:21:55:C6,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,,FAIL
