DATE-TIME,MAC-ADDRESS,CALIB-FREQ,CALIB-POWER-2G,CALIB-POWER-5G,TEST-SENS-2G,TEST-SENS-5G,VERIFY-SIGNAL-2G,VERIFY-SIGNAL-5G,ERROR-CODE,TOTAL-RESULT
2018/05/21 08:41:18,00:AA:BB:01:23:40,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,,
2018/05/21 08:45:27,00:AA:BB:01:23:40,-,-,-,PASS,PASS,PASS,FAIL,,
2018/05/21 08:47:10,00:AA:BB:01:23:40,-,-,-,PASS,PASS,PASS,FAIL,,
2018/05/21 08:48:13,00:AA:BB:01:23:40,-,-,-,PASS,PASS,PASS,FAIL,,
2018/05/21 08:50:33,00:AA:BB:01:23:40,-,-,-,PASS,PASS,PASS,PASS,,
2018/05/21 08:51:46,00:AA:BB:01:23:40,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,
2018/05/21 08:55:50,00:AA:BB:01:23:40,-,-,-,PASS,PASS,PASS,PASS,,
2018/05/21 08:56:57,00:AA:BB:01:23:40,-,-,-,PASS,PASS,PASS,PASS,,
2018/05/21 08:57:38,00:AA:BB:01:23:40,-,-,-,PASS,PASS,PASS,PASS,,
2018/05/21 08:58:20,00:AA:BB:01:23:40,-,-,-,PASS,PASS,PASS,PASS,,
2018/05/21 08:59:06,00:AA:BB:01:23:40,-,-,-,PASS,PASS,PASS,PASS,,
2018/05/21 08:59:51,00:AA:BB:01:23:40,-,-,-,PASS,PASS,PASS,PASS,,
2018/05/21 09:00:52,00:AA:BB:01:23:40,-,-,-,PASS,PASS,PASS,PASS,,
2018/05/21 09:01:33,00:AA:BB:01:23:40,-,-,-,PASS,PASS,PASS,PASS,,
2018/05/21 09:03:19,00:AA:BB:01:23:40,-,-,-,PASS,PASS,PASS,PASS,,
2018/05/21 09:04:18,00:AA:BB:01:23:40,-,-,-,PASS,PASS,PASS,PASS,,
2018/05/21 09:07:52,00:AA:BB:01:23:40,-,-,-,PASS,PASS,PASS,PASS,,PASS
2018/05/21 09:43:10,00:AA:BB:01:23:40,-,-,-,PASS,PASS,PASS,PASS,,PASS
2018/05/21 09:45:06,00:AA:BB:01:23:40,PASS,PASS,PASS,-,-,-,-,,PASS
2018/05/21 11:12:28,00:AA:BB:01:23:40,PASS,PASS,PASS,-,-,-,-,,PASS
2018/05/21 11:28:06,00:AA:BB:01:23:40,PASS,PASS,PASS,-,-,-,-,,PASS
2018/05/21 11:31:34,00:AA:BB:01:23:40,PASS,PASS,PASS,-,-,-,-,,PASS
2018/05/21 11:39:37,00:AA:BB:01:23:40,PASS,PASS,PASS,-,-,-,-,,PASS
