DATE-TIME,MAC-ADDRESS,CALIB-FREQ,CALIB-POWER-2G,CALIB-POWER-5G,TEST-SENS-2G,TEST-SENS-5G,VERIFY-SIGNAL-2G,VERIFY-SIGNAL-5G,ERROR-CODE,TOTAL-RESULT
2018/06/11 10:15:03,A4:F4:C2:21:56:23,-,-,-,PASS,PASS,PASS,FAIL,,FAIL
2018/06/11 10:36:50,00:AA:BB:01:23:40,-,-,-,PASS,PASS,PASS,FAIL,,FAIL
2018/06/11 10:51:09,A4:F4:C2:21:56:23,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,,FAIL
2018/06/11 11:04:55,A4:F4:C2:21:56:23,-,-,-,PASS,PASS,PASS,FAIL,,FAIL
2018/06/11 11:37:37,A4:F4:C2:21:56:23,-,-,-,PASS,PASS,PASS,FAIL,,FAIL
2018/06/11 11:53:36,A4:F4:C2:21:56:23,-,-,-,-,-,PASS,FAIL,,FAIL
2018/06/11 13:56:16,A4:F4:C2:21:56:23,-,-,-,PASS,PASS,PASS,-,,PASS
2018/06/11 14:03:37,A4:F4:C2:21:56:23,-,-,-,-,-,PASS,-,,PASS
2018/06/11 15:00:37,A4:F4:C2:21:56:26,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,,FAIL
2018/06/11 15:20:12,A4:F4:C2:21:56:23,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,,FAIL
2018/06/11 15:35:35,00:AA:BB:01:23:40,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,,FAIL
2018/06/11 16:35:16,00:AA:BB:01:23:40,-,-,-,-,-,PASS,FAIL,,FAIL
2018/06/11 16:42:05,00:AA:BB:01:23:40,-,-,-,-,-,PASS,FAIL,,FAIL
2018/06/11 16:55:15,A4:F4:C2:21:56:26,-,-,-,-,-,PASS,FAIL,,FAIL
2018/06/11 17:09:53,A4:F4:C2:21:56:23,-,-,-,-,-,PASS,FAIL,,FAIL
2018/06/11 17:25:56,A4:F4:C2:21:56:23,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,,FAIL
2018/06/11 17:36:49,A4:F4:C2:21:56:23,-,-,-,PASS,PASS,PASS,FAIL,,FAIL
2018/06/11 17:45:17,A4:F4:C2:21:56:23,-,-,-,-,-,PASS,FAIL,,FAIL
2018/06/11 18:02:23,A4:F4:C2:21:56:23,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,,FAIL
2018/06/11 18:42:53,00:AA:BB:01:23:40,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,,FAIL
