RANGEFREQ,ANTEN,WIFI,RATE,BANDWIDTH,CHANNEL,POWER-LIMIT,POWER-ACTUAL,EVM-MAX,EVM-ACTUAL,FREQ-ERROR,RESULT
2G,1,802.11n,MCS7,20,1,17~21.5,19.51,-28,-32.6,-8600,PASS
2G,1,802.11n,MCS7,20,6,17~21.5,18.88,-28,-31.8,-8730,PASS
2G,1,802.11n,MCS7,20,11,17~21.5,19.21,-28,-30.7,-8706,PASS
2G,2,802.11n,MCS7,20,1,17~21.5,19.36,-28,-32.6,-8341,PASS
2G,2,802.11n,MCS7,20,6,17~21.5,19.75,-28,-29.4,-8349,PASS
2G,2,802.11n,MCS7,20,11,17~21.5,19.6,-28,-30.1,-8499,PASS
5G,1,802.11ac,MCS0,80,42,19~23.5,21.31,-5,-22.6,-17587,PASS
5G,1,802.11ac,MCS0,80,106,19~23.5,20.76,-5,-25.3,-18759,PASS
5G,1,802.11ac,MCS0,80,155,19~23.5,21.21,-5,-26.7,-19688,PASS
5G,2,802.11ac,MCS0,80,42,19~23.5,21.5,-5,-19.9,-17594,PASS
5G,2,802.11ac,MCS0,80,106,19~23.5,21.35,-5,-27.4,-18972,PASS
5G,2,802.11ac,MCS0,80,155,19~23.5,21.31,-5,-26,-20161,FAIL
5G,1,802.11ac,MCS9,80,42,14~18.5,17.04,-32,-37.1,-18132,PASS
5G,1,802.11ac,MCS9,80,106,14~18.5,16.08,-32,-37.6,-19370,PASS
5G,1,802.11ac,MCS9,80,155,14~18.5,16.33,-32,-35,-20209,FAIL
5G,2,802.11ac,MCS9,80,42,14~18.5,17.39,-32,-35,-18207,PASS
5G,2,802.11ac,MCS9,80,106,14~18.5,16.64,-32,-36.9,-19543,PASS
5G,2,802.11ac,MCS9,80,155,14~18.5,16.57,-32,-37.3,-20272,FAIL
